type,n,N,cr,density,lin_regress,lin_regress_err,lin_regress_r2,opt_linregress,opt_linregress_err,opt_linregress_r2,hyper_fit,hyper_fit_err,hyper_fit_r2,sqrt_fit,sqrt_fit_err,sqrt_fit_r2,piece_fit,piece_fit_err,piece_fit_r2,shapiro
PDES,8.0,50.0,0.01,808.212143915212,,,,359.540222,10.679424567279767,0.9858242278728838,289.8737758818861,1.1126918091040972,0.9855786295022098,315.3884871948323,27.429571929736344,0.9888484453554626,330.1647412823412,1.0847323357874004,0.9855613573880893,280.0838567522841
PDES,8.0,50.0,0.1,808.212143915212,,,,367.779205,15.826659439425024,0.9890614613718596,334.4315326943829,0.9003047209618867,0.9872779335298414,327.2833352355044,1.9915399207493871,0.9880636415914642,334.61493049676955,0.8814137792549889,0.987270073746686,904.1543440540572
PDES,8.0,50.0,1.0,808.212143915212,,,,277.447937,5.966581182691338,0.9943418091484564,248.33738150658613,1.4892002300438028,0.9940730909151634,248.30982161531617,inf,0.9940739988779796,248.30980649254784,1.455568316699355,0.9940739988779796,289.0121228840436
PDES,8.0,50.0,10.0,808.212143915212,,,,306.044922,9.776128665249272,0.9927712221262304,161.85395035277966,1.847428083702711,0.9878894893576946,389.0165970451556,0.978686052833355,0.9906871063074908,389.14506658661617,0.951842084848188,0.9906870772579834,680.7968932373103
PDES,8.0,100.0,0.001,807.610407084577,,,,322.294525,4.811986654576805,0.991332378692816,317.2793241673052,0.6046849777705998,0.9914192647847576,325.10034264879954,1.6806978948743472,0.992439702588007,317.267018551503,0.5926833515826608,0.9914134247080044,311.95796136999064
PDES,8.0,100.0,0.01,807.610407084577,,,,305.692139,4.645366356874003,0.9908646188482038,306.94932798721265,0.7139448761343774,0.991071755768382,324.2048047158674,10.161263274847988,0.993810989271235,306.9721361946144,0.6994102273508889,0.9910642908539612,328.03642611144704
PDES,8.0,100.0,0.1,807.610407084577,,,,311.726532,19.02701986170318,0.9922305472913427,302.9947706106984,2.627561429207755,0.992195013712758,332.34605321794834,995.358350047413,0.9944124105784964,303.226861746755,2.557486628661254,0.9921908083768578,280.67788785469355
PDES,8.0,100.0,1.0,807.610407084577,,,,354.680695,20.73874835129547,0.995482509702386,337.6959142137627,2.433594164164885,0.9954316094966328,324.1077441991897,1956.4438473652267,0.9971343830917196,337.02125238742923,2.6217416778782026,0.9953028529722684,307.0741269704285
PDES,8.0,100.0,10.0,807.610407084577,,,,335.324585,11.968835695971634,0.9968743288897214,375.6541642426948,62.69856417450023,0.9882249310670244,376.1749831743936,inf,0.995567838082643,374.6322080313128,2.987907333481649,0.9955678380826432,522.9521081083307
PDES,8.0,150.0,0.001,805.6975720099502,,,,316.214203,3.5021491858168705,0.994813987323142,315.6808956800605,0.4819866840071293,0.9948850982051792,319.2049803939644,0.9952922054384312,0.995672308164928,315.4178255173689,0.4719693568479836,0.9948763550878872,307.50326882543806
PDES,8.0,150.0,0.01,805.6975720099502,,,,305.696716,3.593956121917513,0.9937465081910418,304.8297799556251,0.5808659446832085,0.99379320761963,316.5320701726436,2.0799338240337013,0.9955848803184474,304.8986016577582,0.5687053138884749,0.9937831381683015,327.4345640109978
