type,n,N,cr,density,lin_regress,lin_regress_err,lin_regress_r2,opt_linregress,opt_linregress_err,opt_linregress_r2,hyper_fit,hyper_fit_err,hyper_fit_r2,sqrt_fit,sqrt_fit_err,sqrt_fit_r2,piece_fit,piece_fit_err,piece_fit_r2,shapiro
PDMS,8.0,50.0,0.01,860.1606475610972,,,,277.671234,3.99412277783124,0.990318559867752,272.6844004455418,0.8491444194216718,0.9901327343377248,272.81757351034616,0.8321302154585006,0.9901332271957696,272.81757379885806,0.8319370859212971,0.9901332271957712,252.4152620979933
PDMS,8.0,50.0,0.1,860.1606475610972,,,,275.79306,4.367320456086909,0.988640411746219,271.99878125430854,1.0211944700347293,0.9887859438125418,264.3313595659651,2.321245438895021,0.9896113486522258,272.0031586925466,1.0026700921060108,0.9887809948609636,179.4804516049803
PDMS,8.0,50.0,1.0,860.1606475610972,,,,249.906693,3.2701560435240813,0.991728875283082,247.7176177716269,1.0265673263416344,0.991809998817292,251.11048078166263,7.063151452230644,0.992715414678734,247.3356650638013,1.069247339551387,0.9918074714759004,-118.70363183135709
PDMS,8.0,50.0,10.0,860.1606475610972,,,,294.869385,3.561847987777784,0.9965410550156816,335.0026916727876,0.7733431388282032,0.9962834316560656,345.19132231960293,1.202072176213687,0.996333596160674,334.8894037160498,0.7579820097266639,0.996282127017914,539.0860474080529
PDMS,8.0,100.0,0.001,860.4149683383085,,,,277.768951,2.704896031229273,0.9942351960438072,270.3015265932528,0.6367858764135308,0.9942959972532028,266.1325947992707,1.0314207441190124,0.9947797748997458,270.1732145217084,0.6254449051787024,0.9942920451608864,243.548171572484
PDMS,8.0,100.0,0.01,860.4149683383085,,,,282.426544,2.920730270247298,0.9943485482107596,267.7327772529475,0.6800589568362313,0.9943561784147178,259.6395998680753,1.2569297904387289,0.9948893875379304,267.9215648133915,20244401.46215715,0.95691946535091,254.1127490683245
PDMS,8.0,100.0,0.1,860.4149683383085,,,,288.766357,3.193595781695898,0.9935276519715556,282.62918560621046,0.646273724463334,0.9935859777451856,281.54244228837587,0.9569631832042328,0.99384003584085,282.605265501641,0.6336293785398901,0.9935825956816312,-41.8103819446204
PDMS,8.0,100.0,1.0,860.4149683383085,,,,303.718109,3.801403916295851,0.9962243132803664,280.6015533001583,0.6925360540346716,0.9957024257317504,276.2104279956603,0.8644514525249775,0.9957175208759926,280.6561988041052,0.6778200364567104,0.9957021243767636,180.7995787110664
PDMS,8.0,100.0,10.0,860.4149683383085,,,,360.796631,9.7403952952531,0.9980097179655628,360.7114308119073,1.974337752643474,0.9978967196995882,365.790555983678,3.504047947327938,0.9981116949068064,359.7199594482879,1.7525834602374568,0.9980079591398257,632.2307521634683
PDMS,8.0,150.0,0.001,858.0432207711443,,,,260.293976,1.656657244814866,0.9965776350082648,258.6180730074417,0.4597522378903655,0.9966026060952706,258.62030019142406,0.5780543748139829,0.996687077711085,258.6283831044211,0.448888364341015,0.9966003275580008,252.552226296448
